Date,Party(ies),Professional Sanction,Month,Count
2023-05-08,Pro Se Litigant,No,2023-05,2
2023-05-29,Pro Se Litigant,No,2023-05,2
2023-06-14,Pro Se Litigant,No,2023-06,3
2023-06-22,Lawyer,No,2023-06,3
2023-06-29,Lawyer,No,2023-06,3
2023-07-19,Lawyer,No,2023-07,1
2023-09-11,Pro Se Litigant,No,2023-09,1
2023-10-06,Pro Se Litigant,No,2023-10,2
2023-10-23,Pro Se Litigant,No,2023-10,2
2023-11-13,Pro Se Litigant,No,2023-11,3
2023-11-16,Pro Se Litigant,No,2023-11,3
2023-11-21,Lawyer,Yes,2023-11,3
2023-12-04,Pro Se Litigant,No,2023-12,1
2024-01-11,Lawyer,No,2024-01,2
2024-01-30,Lawyer,Yes,2024-01,2
2024-02-12,Lawyer,No,2024-02,3
2024-02-13,Pro Se Litigant,No,2024-02,3
2024-02-20,Lawyer,No,2024-02,3
2024-03-05,Lawyer,No,2024-03,4
2024-03-06,Pro Se Litigant,No,2024-03,4
2024-03-20,Pro Se Litigant,No,2024-03,4
2024-03-22,Lawyer,No,2024-03,4
2024-04-18,Lawyer,No,2024-04,1
2024-05-30,Pro Se Litigant,No,2024-05,1
2024-06-26,Lawyer,No,2024-06,1
2024-07-09,Pro Se Litigant,No,2024-07,6
2024-07-12,Pro Se Litigant,No,2024-07,6
2024-07-18,Pro Se Litigant,No,2024-07,6
2024-07-24,Lawyer,No,2024-07,6
2024-07-25,Pro Se Litigant,No,2024-07,6
2024-07-26,Pro Se Litigant,No,2024-07,6
2024-08-01,Pro Se Litigant,No,2024-08,7
2024-08-12,Lawyer,No,2024-08,7
2024-08-13,Lawyer,Yes,2024-08,7
2024-08-13,Pro Se Litigant,No,2024-08,7
2024-08-23,Lawyer,No,2024-08,7
2024-08-27,Lawyer,Yes,2024-08,7
2024-08-30,Lawyer,No,2024-08,7
2024-09-04,Pro Se Litigant,No,2024-09,5
2024-09-06,Pro Se Litigant,No,2024-09,5
2024-09-09,Lawyer,Yes,2024-09,5
2024-09-20,Pro Se Litigant,No,2024-09,5
2024-09-24,Pro Se Litigant,No,2024-09,5
2024-10-10,Expert,No,2024-10,4
2024-10-23,Lawyer; Paralegal,No,2024-10,4
2024-10-30,Lawyer,No,2024-10,4
2024-10-31,Lawyer,No,2024-10,4
2024-11-01,Pro Se Litigant,No,2024-11,6
2024-11-14,Lawyer,No,2024-11,6
2024-11-20,Lawyer,No,2024-11,6
2024-11-21,Pro Se Litigant,No,2024-11,6
2024-11-24,Pro Se Litigant,No,2024-11,6
2024-11-25,Lawyer,No,2024-11,6
2024-12-03,Pro Se Litigant,No,2024-12,10
2024-12-04,Pro Se Litigant,No,2024-12,10
2024-12-06,Pro Se Litigant,No,2024-12,10
2024-12-10,Pro Se Litigant,No,2024-12,10
2024-12-12,Pro Se Litigant,No,2024-12,10
2024-12-12,Lawyer,No,2024-12,10
2024-12-16,Pro Se Litigant,No,2024-12,10
2024-12-18,Pro Se Litigant,No,2024-12,10
2024-12-26,Pro Se Litigant,No,2024-12,10
2024-12-30,Judge,No,2024-12,10
2025-01-08,Lawyer,Yes,2025-01,13
2025-01-10,Pro Se Litigant,No,2025-01,13
2025-01-10,Expert,No,2025-01,13
2025-01-15,Pro Se Litigant,No,2025-01,13
2025-01-17,Federal Defender,No,2025-01,13
2025-01-20,Pro Se Litigant,No,2025-01,13
2025-01-22,Lawyer,No,2025-01,13
2025-01-22,Lawyer,No,2025-01,13
2025-01-24,Pro Se Litigant,No,2025-01,13
2025-01-24,Lawyer,No,2025-01,13
2025-01-25,Pro Se Litigant,No,2025-01,13
2025-01-29,Lawyer,No,2025-01,13
2025-01-31,Lawyer,Yes,2025-01,13
2025-02-05,Lawyer,No,2025-02,10
2025-02-13,Pro Se Litigant,No,2025-02,10
2025-02-14,Pro Se Litigant,No,2025-02,10
2025-02-18,Lawyer,No,2025-02,10
2025-02-18,Pro Se Litigant,No,2025-02,10
2025-02-23,Lawyer,No,2025-02,10
2025-02-24,Lawyer,No,2025-02,10
2025-02-25,Pro Se Litigant,No,2025-02,10
2025-02-27,Lawyer,No,2025-02,10
2025-02-28,Lawyer,No,2025-02,10
2025-03-02,Lawyer,No,2025-03,20
2025-03-03,Lawyer,No,2025-03,20
2025-03-11,Pro Se Litigant,No,2025-03,20
2025-03-11,Pro Se Litigant,No,2025-03,20
2025-03-11,Pro Se Litigant,No,2025-03,20
2025-03-13,Pro Se Litigant,No,2025-03,20
2025-03-13,Lawyer,No,2025-03,20
2025-03-17,Pro Se Litigant,No,2025-03,20
2025-03-18,Pro Se Litigant,No,2025-03,20
2025-03-18,Pro Se Litigant,No,2025-03,20
2025-03-18,Pro Se Litigant,No,2025-03,20
2025-03-21,Pro Se Litigant,No,2025-03,20
2025-03-21,Lawyer,Yes,2025-03,20
2025-03-24,Lawyer,No,2025-03,20
2025-03-25,Pro Se Litigant,No,2025-03,20
2025-03-26,Pro Se Litigant,No,2025-03,20
2025-03-28,Pro Se Litigant,No,2025-03,20
2025-03-31,Pro Se Litigant,No,2025-03,20
2025-03-31,Pro Se Litigant,No,2025-03,20
2025-03-31,Pro Se Litigant,No,2025-03,20
2025-04-01,Pro Se Litigant,No,2025-04,24
2025-04-02,Lawyer,Yes,2025-04,24
2025-04-02,Lawyer,No,2025-04,24
2025-04-02,Lawyer,No,2025-04,24
2025-04-03,Lawyer,Yes,2025-04,24
2025-04-03,Pro Se Litigant,No,2025-04,24
2025-04-03,Pro Se Litigant,No,2025-04,24
2025-04-07,Lawyer,No,2025-04,24
2025-04-10,Lawyer,Yes,2025-04,24
2025-04-10,Pro Se Litigant,No,2025-04,24
2025-04-11,Lawyer,No,2025-04,24
2025-04-14,Lawyer,No,2025-04,24
2025-04-15,Pro Se Litigant,No,2025-04,24
2025-04-16,Pro Se Litigant,No,2025-04,24
2025-04-22,Pro Se Litigant,No,2025-04,24
2025-04-23,Pro Se Litigant,No,2025-04,24
2025-04-24,Lawyer,No,2025-04,24
2025-04-25,Pro Se Litigant,No,2025-04,24
2025-04-28,Pro Se Litigant,No,2025-04,24
2025-04-29,Lawyer,No,2025-04,24
2025-04-29,Lawyer,No,2025-04,24
2025-04-30,Pro Se Litigant,No,2025-04,24
2025-04-30,Lawyer,Yes,2025-04,24
2025-04-30,Pro Se Litigant,No,2025-04,24
2025-05-01,Pro Se Litigant,No,2025-05,44
2025-05-02,Pro Se Litigant,No,2025-05,44
2025-05-05,Lawyer,No,2025-05,44
2025-05-06,Pro Se Litigant,No,2025-05,44
2025-05-06,Pro Se Litigant,No,2025-05,44
2025-05-06,Lawyer,No,2025-05,44
2025-05-06,Pro Se Litigant,No,2025-05,44
2025-05-07,Prosecutor,No,2025-05,44
2025-05-07,Pro Se Litigant,No,2025-05,44
2025-05-08,Lawyer,Yes,2025-05,44
2025-05-12,Pro Se Litigant,Yes,2025-05,44
2025-05-12,Lawyer,Yes,2025-05,44
2025-05-12,Lawyer,Yes,2025-05,44
2025-05-12,Lawyer,Yes,2025-05,44
2025-05-12,Pro Se Litigant,No,2025-05,44
2025-05-13,Pro Se Litigant,No,2025-05,44
2025-05-13,Paralegal,No,2025-05,44
2025-05-13,Pro Se Litigant,No,2025-05,44
2025-05-14,Lawyer,No,2025-05,44
2025-05-15,Lawyer,No,2025-05,44
2025-05-15,Lawyer,No,2025-05,44
2025-05-15,Lawyer,No,2025-05,44
2025-05-18,Pro Se Litigant,No,2025-05,44
2025-05-19,Pro Se Litigant,No,2025-05,44
2025-05-20,Lawyer,No,2025-05,44
2025-05-20,Pro Se Litigant,No,2025-05,44
2025-05-20,Pro Se Litigant,No,2025-05,44
2025-05-21,Pro Se Litigant,No,2025-05,44
2025-05-22,Lawyer,No,2025-05,44
2025-05-22,Pro Se Litigant,No,2025-05,44
2025-05-23,Pro Se Litigant,No,2025-05,44
2025-05-23,Expert,No,2025-05,44
2025-05-23,Pro Se Litigant,No,2025-05,44
2025-05-25,Pro Se Litigant,No,2025-05,44
2025-05-26,Lawyer,No,2025-05,44
2025-05-26,Lawyer,No,2025-05,44
2025-05-26,Lawyer,No,2025-05,44
2025-05-27,Pro Se Litigant,No,2025-05,44
2025-05-27,Pro Se Litigant,No,2025-05,44
2025-05-28,Lawyer,No,2025-05,44
2025-05-28,Lawyer,No,2025-05,44
2025-05-29,Lawyer,No,2025-05,44
2025-05-29,Lawyer,Yes,2025-05,44
2025-05-30,Pro Se Litigant,No,2025-05,44
2025-06-01,Pro Se Litigant,No,2025-06,39
2025-06-02,Pro Se Litigant,No,2025-06,39
2025-06-02,Pro Se Litigant,No,2025-06,39
2025-06-04,Lawyer,No,2025-06,39
2025-06-05,Pro Se Litigant,No,2025-06,39
2025-06-06,Lawyer,Yes,2025-06,39
2025-06-08,Lawyer,No,2025-06,39
2025-06-09,Pro Se Litigant,No,2025-06,39
2025-06-09,Lawyer,No,2025-06,39
2025-06-10,Pro Se Litigant,No,2025-06,39
2025-06-12,Lawyer,No,2025-06,39
2025-06-13,Lawyer,No,2025-06,39
2025-06-14,Lawyer,No,2025-06,39
2025-06-16,Pro Se Litigant,No,2025-06,39
2025-06-16,Pro Se Litigant,No,2025-06,39
2025-06-19,Pro Se Litigant,No,2025-06,39
2025-06-20,Pro Se Litigant,No,2025-06,39
2025-06-20,Pro Se Litigant,No,2025-06,39
2025-06-20,Pro Se Litigant; Lawyer,No,2025-06,39
2025-06-23,Lawyer,No,2025-06,39
2025-06-23,Pro Se Litigant,No,2025-06,39
2025-06-23,Lawyer,No,2025-06,39
2025-06-24,Lawyer,No,2025-06,39
2025-06-25,Lawyer,No,2025-06,39
2025-06-25,Pro Se Litigant,No,2025-06,39
2025-06-25,Pro Se Litigant,No,2025-06,39
2025-06-25,Lawyer,Yes,2025-06,39
2025-06-26,Lawyer,No,2025-06,39
2025-06-27,Pro Se Litigant,No,2025-06,39
2025-06-27,Pro Se Litigant,No,2025-06,39
2025-06-27,Lawyer,No,2025-06,39
2025-06-27,Pro Se Litigant,No,2025-06,39
2025-06-27,Pro Se Litigant,No,2025-06,39
2025-06-30,Lawyer,Yes,2025-06,39
2025-06-30,Pro Se Litigant,No,2025-06,39
2025-06-30,Lawyer,No,2025-06,39
2025-06-30,Pro Se Litigant,No,2025-06,39
2025-06-30,Judge; Lawyer,No,2025-06,39
2025-06-30,Pro Se Litigant,No,2025-06,39
2025-07-01,Lawyer,No,2025-07,72
2025-07-02,Lawyer,No,2025-07,72
2025-07-02,Pro Se Litigant,No,2025-07,72
2025-07-02,Lawyer,No,2025-07,72
2025-07-02,Lawyer,No,2025-07,72
2025-07-02,Lawyer,No,2025-07,72
2025-07-02,Pro Se Litigant,No,2025-07,72
2025-07-03,Lawyer,No,2025-07,72
2025-07-03,Pro Se Litigant,No,2025-07,72
2025-07-03,Lawyer,No,2025-07,72
2025-07-03,Lawyer,No,2025-07,72
2025-07-03,Lawyer,No,2025-07,72
2025-07-03,Pro Se Litigant,No,2025-07,72
2025-07-04,Pro Se Litigant,No,2025-07,72
2025-07-07,Pro Se Litigant,No,2025-07,72
2025-07-07,Pro Se Litigant,No,2025-07,72
2025-07-07,Lawyer,No,2025-07,72
2025-07-09,Pro Se Litigant,No,2025-07,72
2025-07-09,Lawyer,No,2025-07,72
2025-07-09,Lawyer,Yes,2025-07,72
2025-07-09,Lawyer,No,2025-07,72
2025-07-09,Pro Se Litigant,No,2025-07,72
2025-07-10,Pro Se Litigant,No,2025-07,72
2025-07-10,Pro Se Litigant,No,2025-07,72
2025-07-11,Lawyer,No,2025-07,72
2025-07-11,Lawyer,No,2025-07,72
2025-07-14,Lawyer,Yes,2025-07,72
2025-07-15,Lawyer; Paralegal,Yes,2025-07,72
2025-07-15,Lawyer,No,2025-07,72
2025-07-15,Pro Se Litigant,No,2025-07,72
2025-07-16,Pro Se Litigant,No,2025-07,72
2025-07-16,Lawyer,No,2025-07,72
2025-07-16,Pro Se Litigant,No,2025-07,72
2025-07-17,Lawyer,No,2025-07,72
2025-07-18,Lawyer,No,2025-07,72
2025-07-18,Lawyer,Yes,2025-07,72
2025-07-18,Pro Se Litigant,No,2025-07,72
2025-07-18,Pro Se Litigant,No,2025-07,72
2025-07-18,Pro Se Litigant,No,2025-07,72
2025-07-20,Judge,No,2025-07,72
2025-07-21,Lawyer,No,2025-07,72
2025-07-21,Lawyer,No,2025-07,72
2025-07-21,Lawyer,Yes,2025-07,72
2025-07-22,Pro Se Litigant,No,2025-07,72
2025-07-22,Lawyer,No,2025-07,72
2025-07-22,Pro Se Litigant,No,2025-07,72
2025-07-23,Judge,No,2025-07,72
2025-07-23,Lawyer,Yes,2025-07,72
2025-07-23,Lawyer,No,2025-07,72
2025-07-23,Lawyer,Yes,2025-07,72
2025-07-23,Pro Se Litigant,No,2025-07,72
2025-07-23,Lawyer,No,2025-07,72
2025-07-24,Pro Se Litigant,No,2025-07,72
2025-07-24,Pro Se Litigant,No,2025-07,72
2025-07-24,Pro Se Litigant,No,2025-07,72
2025-07-25,Pro Se Litigant,No,2025-07,72
2025-07-25,Lawyer,Yes,2025-07,72
2025-07-25,Pro Se Litigant,No,2025-07,72
2025-07-25,Pro Se Litigant,No,2025-07,72
2025-07-25,Pro Se Litigant,No,2025-07,72
2025-07-26,Lawyer,No,2025-07,72
2025-07-27,Lawyer,No,2025-07,72
2025-07-28,Lawyer,No,2025-07,72
2025-07-28,Lawyer,No,2025-07,72
2025-07-29,Pro Se Litigant,No,2025-07,72
2025-07-29,Lawyer,Yes,2025-07,72
2025-07-29,Pro Se Litigant,No,2025-07,72
2025-07-30,Pro Se Litigant,No,2025-07,72
2025-07-30,Pro Se Litigant,No,2025-07,72
2025-07-30,Pro Se Litigant,No,2025-07,72
2025-07-30,Lawyer,No,2025-07,72
2025-07-31,Lawyer,No,2025-07,72
2025-08-01,Lawyer,No,2025-08,64
2025-08-01,Pro Se Litigant,No,2025-08,64
2025-08-01,Pro Se Litigant,No,2025-08,64
2025-08-03,Pro Se Litigant,No,2025-08,64
2025-08-04,Pro Se Litigant,No,2025-08,64
2025-08-04,Lawyer,Yes,2025-08,64
2025-08-06,Pro Se Litigant,No,2025-08,64
2025-08-07,Lawyer,Yes,2025-08,64
2025-08-07,Pro Se Litigant,No,2025-08,64
2025-08-07,Lawyer,No,2025-08,64
2025-08-08,Pro Se Litigant,No,2025-08,64
2025-08-08,Pro Se Litigant,No,2025-08,64
2025-08-08,Pro Se Litigant,No,2025-08,64
2025-08-08,Pro Se Litigant,No,2025-08,64
2025-08-11,Lawyer,No,2025-08,64
2025-08-11,Pro Se Litigant,No,2025-08,64
2025-08-11,Pro Se Litigant,No,2025-08,64
2025-08-12,Lawyer,No,2025-08,64
2025-08-12,Lawyer,Yes,2025-08,64
2025-08-13,Pro Se Litigant,No,2025-08,64
2025-08-13,Lawyer,Yes,2025-08,64
2025-08-13,Pro Se Litigant,No,2025-08,64
2025-08-14,Lawyer,Yes,2025-08,64
2025-08-14,Pro Se Litigant,No,2025-08,64
2025-08-14,Lawyer,No,2025-08,64
2025-08-15,Lawyer,Yes,2025-08,64
2025-08-15,Pro Se Litigant,No,2025-08,64
2025-08-15,Pro Se Litigant,No,2025-08,64
2025-08-15,Lawyer,No,2025-08,64
2025-08-15,Pro Se Litigant,No,2025-08,64
2025-08-18,Pro Se Litigant,No,2025-08,64
2025-08-18,Pro Se Litigant,No,2025-08,64
2025-08-18,Pro Se Litigant,No,2025-08,64
2025-08-19,Pro Se Litigant,No,2025-08,64
2025-08-19,Pro Se Litigant,No,2025-08,64
2025-08-19,Pro Se Litigant,No,2025-08,64
2025-08-19,Pro Se Litigant,No,2025-08,64
2025-08-20,Lawyer,No,2025-08,64
2025-08-21,Pro Se Litigant,No,2025-08,64
2025-08-22,Pro Se Litigant,No,2025-08,64
2025-08-22,Lawyer,Yes,2025-08,64
2025-08-22,Lawyer,No,2025-08,64
2025-08-22,Lawyer,No,2025-08,64
2025-08-26,Lawyer,No,2025-08,64
2025-08-26,Pro Se Litigant,No,2025-08,64
2025-08-27,Lawyer,Yes,2025-08,64
2025-08-27,Pro Se Litigant,No,2025-08,64
2025-08-27,Lawyer,No,2025-08,64
2025-08-27,Pro Se Litigant,No,2025-08,64
2025-08-28,Pro Se Litigant,No,2025-08,64
2025-08-28,Pro Se Litigant,No,2025-08,64
2025-08-28,Pro Se Litigant,No,2025-08,64
2025-08-28,Lawyer,Yes,2025-08,64
2025-08-28,Lawyer,Yes,2025-08,64
2025-08-28,Lawyer,No,2025-08,64
2025-08-28,Expert,No,2025-08,64
2025-08-28,Lawyer,No,2025-08,64
2025-08-29,Pro Se Litigant,No,2025-08,64
2025-08-29,Pro Se Litigant,No,2025-08,64
2025-08-29,Pro Se Litigant,No,2025-08,64
2025-08-29,Pro Se Litigant,No,2025-08,64
2025-08-29,Pro Se Litigant,No,2025-08,64
2025-08-29,Lawyer,Yes,2025-08,64
2025-08-31,Pro Se Litigant,No,2025-08,64
2025-09-01,Lawyer,No,2025-09,71
2025-09-02,Lawyer,Yes,2025-09,71
2025-09-03,Pro Se Litigant,No,2025-09,71
2025-09-03,Pro Se Litigant,No,2025-09,71
2025-09-03,Pro Se Litigant,No,2025-09,71
2025-09-03,Pro Se Litigant,No,2025-09,71
2025-09-03,Pro Se Litigant,No,2025-09,71
2025-09-03,Lawyer,No,2025-09,71
2025-09-03,Lawyer,Yes,2025-09,71
2025-09-03,Pro Se Litigant,No,2025-09,71
2025-09-04,Lawyer,No,2025-09,71
2025-09-04,Pro Se Litigant,No,2025-09,71
2025-09-04,Pro Se Litigant,No,2025-09,71
2025-09-04,Pro Se Litigant,No,2025-09,71
2025-09-05,Pro Se Litigant,No,2025-09,71
2025-09-05,Lawyer,No,2025-09,71
2025-09-09,Pro Se Litigant,No,2025-09,71
2025-09-09,Lawyer,Yes,2025-09,71
2025-09-09,Pro Se Litigant,No,2025-09,71
2025-09-11,Pro Se Litigant,No,2025-09,71
2025-09-11,Lawyer,No,2025-09,71
2025-09-11,Pro Se Litigant,No,2025-09,71
2025-09-11,Lawyer,No,2025-09,71
2025-09-12,Lawyer,Yes,2025-09,71
2025-09-12,Pro Se Litigant,No,2025-09,71
2025-09-12,Pro Se Litigant,No,2025-09,71
2025-09-12,Lawyer,No,2025-09,71
2025-09-15,Lawyer,No,2025-09,71
2025-09-15,Lawyer,No,2025-09,71
2025-09-15,Pro Se Litigant,No,2025-09,71
2025-09-15,Pro Se Litigant,No,2025-09,71
2025-09-16,Pro Se Litigant,No,2025-09,71
2025-09-16,Pro Se Litigant,No,2025-09,71
2025-09-16,Lawyer,No,2025-09,71
2025-09-17,Pro Se Litigant,No,2025-09,71
2025-09-17,Pro Se Litigant,No,2025-09,71
2025-09-17,Pro Se Litigant,No,2025-09,71
2025-09-17,Pro Se Litigant,No,2025-09,71
2025-09-17,Pro Se Litigant,No,2025-09,71
2025-09-18,Pro Se Litigant,No,2025-09,71
2025-09-18,Pro Se Litigant,No,2025-09,71
2025-09-18,Lawyer,No,2025-09,71
2025-09-18,Lawyer,No,2025-09,71
2025-09-19,Pro Se Litigant,No,2025-09,71
2025-09-19,Pro Se Litigant,No,2025-09,71
2025-09-19,Lawyer,No,2025-09,71
2025-09-19,Pro Se Litigant,No,2025-09,71
2025-09-19,Pro Se Litigant,No,2025-09,71
2025-09-22,Lawyer,Yes,2025-09,71
2025-09-22,Pro Se Litigant,No,2025-09,71
2025-09-22,Lawyer,No,2025-09,71
2025-09-23,Pro Se Litigant,No,2025-09,71
2025-09-23,Lawyer,No,2025-09,71
2025-09-24,Lawyer,No,2025-09,71
2025-09-24,Pro Se Litigant,No,2025-09,71
2025-09-24,Pro Se Litigant,No,2025-09,71
2025-09-24,Lawyer,No,2025-09,71
2025-09-25,Pro Se Litigant,No,2025-09,71
2025-09-25,Lawyer,No,2025-09,71
2025-09-25,Pro Se Litigant,No,2025-09,71
2025-09-25,Pro Se Litigant,No,2025-09,71
2025-09-25,Lawyer,No,2025-09,71
2025-09-25,Lawyer,No,2025-09,71
2025-09-26,Pro Se Litigant,No,2025-09,71
2025-09-26,Lawyer,No,2025-09,71
2025-09-29,Pro Se Litigant,No,2025-09,71
2025-09-29,Lawyer,No,2025-09,71
2025-09-29,Pro Se Litigant,No,2025-09,71
2025-09-30,Pro Se Litigant,No,2025-09,71
2025-09-30,Expert,No,2025-09,71
2025-09-30,Pro Se Litigant,No,2025-09,71
2025-10-01,Lawyer,Yes,2025-10,2
2025-10-02,Lawyer,Yes,2025-10,2
